,migratory_type
Baeolophus_bicolor,resident
Coragyps_atratus,temperate
Corvus_ossifragus,resident
Dendroica_cerulea,neotropical
Dendroica_discolor,neotropical
Dendroica_dominica,neotropical
Empidonax_virescens,neotropical
Helmitheros_vermivorum,neotropical
Hylocichla_mustelina,neotropical
Icterus_spurius,neotropical
Limnothlypis_swainsonii,neotropical
Melanerpes_carolinus,resident
Melanerpes_erythrocephalus,temperate
Mimus_polyglottos,resident
Oporornis_formosus,neotropical
Passerina_cyanea,neotropical
Pipilo_erythrophthalmus,temperate
Piranga_rubra,neotropical
Poecile_carolinensis,resident
Polioptila_caerulea,neotropical
Protonotaria_citrea,neotropical
Seiurus_motacilla,temperate
Setophaga_citrina,neotropical
Sialia_sialis,temperate
Sitta_pusilla,resident
Spiza_americana,neotropical
Spizella_pusilla,temperate
Thryothorus_ludovicianus,resident
Toxostoma_rufum,temperate
Vermivora_chrysoptera,neotropical
Vireo_flavifrons,neotropical
Vireo_griseus,neotropical